unit,median,mean,count,std
Precambrian felsic and/or intermediate volcanic domains,3.44868194453328,3.905098065924639,840,3.8888986887430836
Neoproterozoic volcanic rocks,3.3643,4.043576810244645,42,2.178934116746344
Mesozoic-Cenozoic intrusive rocks,3.2000322013797646,3.742078927178464,437,3.092400887309006
Mesoarchean-Neoarchean intrusive rocks,3.0595703999662565,3.5156652406301117,83,2.1977777256991224
Neoproterozoic intrusive rocks,3.033149092751727,3.8600087408607826,165,3.097510497190008
Neoproterozoic volcanic and intrusive rocks,3.0161917825580145,2.9857644466006024,62,1.6540283909410411
Paleoproterozoic-Mesoproterozoic intrusive rocks,2.9606688406113726,3.5974195141651863,170,2.809798066500753
Mesoarchean-Neoarchean sedimentary and volcanic rocks,2.888969420645288,3.006522832651081,77,2.047017473887978
Mesozoic-Cenozoic tectonic rocks,2.864727446553658,2.428252092753754,12,1.2734947201475826
Mesozoic-Cenozoic sedimentary and volcanic rocks,2.841600261066361,3.2143601040453653,56,1.884270832488911
Paleozoic-Mesozoic volcanic rocks,2.778978782610272,3.5930468735212617,29,2.596579843529602
Mesozoic-Cenozoic felsic and/or intermediate volcanic domains,2.7467374194471694,2.61503569937784,51,1.68579579643725
Precambrian-Phanerozoic volcanic rocks,2.6886726100453573,3.186366738133693,72,2.172136081089698
Mesoproterozoic-Neoproterozoic intrusive rocks,2.288415370035545,3.560277178141347,122,4.275853040436483
crystalline metamorphic rocks,2.2354461091075315,2.9371162787954765,19,2.809115539715678
Paleoarchean volcanic rocks,2.190389338756498,2.8007964743758405,54,2.41470344370738
Paleoarchean-Mesoarchean crystalline metamorphic rocks,2.076851729831663,2.680684153047542,294,2.390699933313685
Paleoproterozoic-Mesoproterozoic sedimentary rocks,1.8814462204217977,1.9916859403493927,12,1.3746037905257555
Paleoproterozoic-Mesoproterozoic volcanic rocks,1.8278419122941203,2.3433105989354948,34,1.381788544704261
undivided Cenozoic rocks,1.1345410831332627,1.1822046689657222,5,0.742828000312303
sedimentary rocks,0.0580338085866179,0.0580338085866179,1,
